"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"10.06.2024","73,56","291,80","294,85","280,75","4,54M","-3,41%"
"09.06.2024","70,56","291,80","294,85","280,75","4,54M","-3,41%"
"08.06.2024","72,56","291,80","294,85","280,75","4,54M","-3,41%"
"07.06.2024","77,56","291,80","294,85","280,75","4,54M","-3,41%"
"06.06.2024","75,56","291,80","294,85","280,75","4,54M","-3,41%"
"05.06.2024","76,56","291,80","294,85","280,75","4,54M","-3,41%"
"04.06.2024","79,56","291,80","294,85","280,75","4,54M","-3,41%"
"03.06.2024","81,56","291,80","294,85","280,75","4,54M","-3,41%"
"02.06.2024","80,56","291,80","294,85","280,75","4,54M","-3,41%"
"01.06.2024","82,56","291,80","294,85","280,75","4,54M","-3,41%"
"31.05.2024","84,56","88,00","88,94","84,38","640,95K","-4,95%"
"30.05.2024","88,96","90,50","91,40","88,02","631,03K","-1,64%"
"29.05.2024","90,44","92,10","92,44","88,16","470,74K","-1,80%"
"28.05.2024","92,10","89,84","93,20","88,16","581,69K","2,52%"
"27.05.2024","89,84","94,08","94,08","89,08","973,83K","-4,51%"
"24.05.2024","94,08","96,06","96,66","92,50","483,95K","-2,04%"
"23.05.2024","96,04","98,00","98,00","94,28","611,37K","-1,54%"
"22.05.2024","97,54","97,74","100,98","97,30","695,51K","0,29%"
"21.05.2024","97,26","98,10","99,24","97,02","253,51K","-2,00%"
"20.05.2024","99,24","100,96","102,70","99,00","583,13K","-0,52%"
"17.05.2024","99,76","98,34","100,40","96,00","829,11K","1,73%"
"16.05.2024","98,06","98,50","98,96","97,30","416,52K","-0,63%"
"15.05.2024","98,68","100,34","100,34","98,52","307,81K","-1,65%"
"14.05.2024","100,34","100,00","101,54","98,72","377,99K","-0,18%"
"13.05.2024","100,52","102,12","102,42","100,40","336,31K","-1,55%"
"10.05.2024","102,10","103,10","103,68","101,80","159,28K","-0,97%"
"08.05.2024","103,10","100,30","103,70","100,30","470,14K","2,79%"
"07.05.2024","100,30","101,52","101,52","99,10","451,80K","-0,73%"
"06.05.2024","101,04","103,00","103,38","100,56","599,75K","-2,32%"
"03.05.2024","103,44","103,00","103,86","102,72","253,69K","0,43%"
"02.05.2024","103,00","106,00","106,42","102,00","893,34K","-2,65%"
"30.04.2024","105,80","105,54","107,98","105,54","440,51K","0,25%"
"29.04.2024","105,54","107,80","108,38","103,96","686,98K","-1,93%"
"27.04.2024","107,62","105,06","109,00","104,86","1,29M","2,44%"
"26.04.2024","105,06","104,30","105,76","102,82","998,38K","0,77%"
"25.04.2024","104,26","103,50","106,00","103,00","1,88M","1,05%"
"24.04.2024","103,18","100,88","105,00","99,32","2,24M","2,99%"
"23.04.2024","100,18","100,60","102,70","99,26","679,73K","-0,40%"
"22.04.2024","100,58","97,98","101,84","97,56","2,24M","3,58%"
"19.04.2024","97,10","95,30","97,80","95,14","1,05M","1,91%"
"18.04.2024","95,28","95,36","95,70","95,14","289,64K","-0,08%"
"17.04.2024","95,36","94,90","95,72","94,64","378,28K","0,85%"
"16.04.2024","94,56","95,00","95,60","93,60","548,03K","-0,36%"
"15.04.2024","94,90","94,86","96,04","94,62","450,37K","0,04%"
"12.04.2024","94,86","96,52","96,58","94,38","578,76K","-1,33%"
"11.04.2024","96,14","97,04","97,06","95,02","526,53K","-0,95%"
"10.04.2024","97,06","94,76","97,06","94,10","1,29M","3,76%"
"09.04.2024","93,54","94,40","95,88","92,84","1,86M","0,93%"
"08.04.2024","92,68","92,30","93,50","91,72","689,61K","1,11%"
"05.04.2024","91,66","92,40","92,42","90,58","488,44K","-0,69%"
"04.04.2024","92,30","92,36","92,82","92,02","313,87K","-0,02%"
"03.04.2024","92,32","91,74","92,80","91,74","434,38K","0,63%"
"02.04.2024","91,74","93,10","93,26","91,28","786,82K","-1,25%"
"01.04.2024","92,90","92,18","93,48","91,04","874,64K","2,09%"
"29.03.2024","91,00","91,72","93,42","90,96","942,02K","-0,70%"
"28.03.2024","91,64","90,80","92,44","90,52","1,28M","1,26%"
"27.03.2024","90,50","90,80","91,58","90,02","830,39K","-0,35%"
"26.03.2024","90,82","91,70","92,16","89,80","2,46M","-0,98%"
"25.03.2024","91,72","98,70","99,68","91,62","5,13M","-7,30%"
"22.03.2024","98,94","97,60","100,10","97,60","1,30M","1,37%"
"21.03.2024","97,60","97,30","98,50","96,00","651,33K","0,31%"
"20.03.2024","97,30","94,50","97,44","92,20","1,15M","3,78%"
"19.03.2024","93,76","94,82","97,20","92,44","1,11M","-1,06%"
"18.03.2024","94,76","94,82","96,46","94,52","471,77K","0,40%"
"15.03.2024","94,38","94,30","96,00","93,66","700,22K","0,30%"
"14.03.2024","94,10","96,08","96,74","93,24","968,18K","-2,04%"
"13.03.2024","96,06","97,50","98,50","96,00","461,37K","-1,48%"
"12.03.2024","97,50","97,46","98,10","96,00","473,21K","0,08%"
"11.03.2024","97,42","99,20","99,46","97,00","777,51K","-0,79%"
"07.03.2024","98,20","97,66","99,00","97,44","523,25K","0,55%"
"06.03.2024","97,66","97,02","99,12","96,00","1,20M","0,70%"
"05.03.2024","96,98","97,78","98,00","95,30","1,08M","-0,68%"
"04.03.2024","97,64","98,74","101,68","97,00","1,39M","-0,02%"
"01.03.2024","97,66","99,00","100,58","97,62","1,08M","0,16%"
"29.02.2024","97,50","101,00","101,94","96,52","3,95M","-4,11%"
"28.02.2024","101,68","92,66","102,88","92,62","9,26M","9,78%"
"27.02.2024","92,62","91,00","93,40","90,52","1,20M","2,39%"
"26.02.2024","90,46","89,04","91,74","89,04","597,07K","2,01%"
"22.02.2024","88,68","87,82","89,62","87,14","265,98K","1,03%"
"21.02.2024","87,78","90,40","90,40","86,22","905,07K","-3,54%"
"20.02.2024","91,00","91,74","91,76","90,22","317,05K","-0,83%"
"19.02.2024","91,76","91,84","92,00","90,22","360,52K","0,90%"
"16.02.2024","90,94","92,32","93,30","90,00","762,09K","-1,47%"
"15.02.2024","92,30","90,40","93,62","90,02","898,98K","2,76%"
"14.02.2024","89,82","92,12","94,50","89,30","1,28M","-2,50%"
"13.02.2024","92,12","91,20","92,98","90,00","1,10M","1,28%"
"12.02.2024","90,96","89,96","91,86","89,00","1,41M","2,90%"
"09.02.2024","88,40","88,18","89,12","87,12","255,68K","0,25%"
"08.02.2024","88,18","89,04","90,50","87,70","463,83K","-0,94%"
"07.02.2024","89,02","88,32","90,72","87,76","1,33M","0,79%"
"06.02.2024","88,32","86,40","88,88","85,26","583,10K","2,22%"
"05.02.2024","86,40","85,80","86,76","84,90","292,05K","0,91%"
"02.02.2024","85,62","87,40","87,56","85,38","538,06K","-1,81%"
"01.02.2024","87,20","88,02","88,02","86,54","269,88K","-0,48%"
"31.01.2024","87,62","88,82","89,00","87,26","368,83K","-1,33%"
"30.01.2024","88,80","87,48","89,58","87,10","488,12K","1,53%"
"29.01.2024","87,46","85,68","89,16","85,68","485,89K","2,10%"
"26.01.2024","85,66","85,44","86,44","84,56","175,47K","0,26%"
"25.01.2024","85,44","85,56","86,66","83,58","568,58K","0,00%"
"24.01.2024","85,44","86,92","87,48","85,44","282,65K","-1,70%"
"23.01.2024","86,92","88,16","88,80","86,82","281,26K","-1,34%"
"22.01.2024","88,10","86,52","89,70","84,72","626,09K","1,80%"
"19.01.2024","86,54","87,46","88,22","86,52","263,47K","-1,05%"
"18.01.2024","87,46","88,24","88,50","86,24","416,39K","-0,02%"
"17.01.2024","87,48","88,72","89,08","86,30","587,39K","-0,59%"
"16.01.2024","88,00","85,34","89,88","85,14","2,69M","3,12%"
"15.01.2024","85,34","86,18","86,80","84,36","830,35K","-0,88%"
"12.01.2024","86,10","86,46","87,00","85,66","345,47K","-0,09%"
"11.01.2024","86,18","86,50","87,50","85,16","570,34K","-0,23%"
"10.01.2024","86,38","86,86","87,28","86,00","367,97K","-0,53%"
"09.01.2024","86,84","86,16","87,36","85,52","358,09K","1,50%"
"08.01.2024","85,56","86,02","87,98","85,00","490,26K","-0,53%"
"05.01.2024","86,02","86,36","87,64","84,62","297,03K","0,58%"
"04.01.2024","85,52","84,70","88,92","81,60","951,65K","0,97%"
"03.01.2024","84,70","83,22","85,82","81,70","431,54K","1,78%"
"29.12.2023","83,22","84,00","85,00","82,52","704,20K","-2,09%"
"28.12.2023","85,00","79,56","85,00","78,60","1,87M","6,84%"
"27.12.2023","79,56","79,04","79,86","77,92","490,20K","0,68%"
"26.12.2023","79,02","80,00","80,68","78,14","330,15K","-1,23%"
"25.12.2023","80,00","77,38","81,98","77,22","1,07M","3,90%"
"22.12.2023","77,00","78,14","79,64","76,82","456,30K","-1,28%"
"21.12.2023","78,00","80,80","80,90","77,10","399,57K","-3,47%"
"20.12.2023","80,80","80,34","82,70","80,10","377,82K","1,03%"
"19.12.2023","79,98","80,80","83,00","78,80","425,21K","-0,92%"
"18.12.2023","80,72","80,18","81,28","77,42","941,12K","2,18%"
"15.12.2023","79,00","73,00","79,00","71,34","1,18M","9,09%"
"14.12.2023","72,42","73,90","74,70","72,08","275,39K","-2,00%"
"13.12.2023","73,90","71,32","74,40","70,80","621,61K","2,98%"
"12.12.2023","71,76","71,20","73,00","69,60","347,89K","1,36%"
"11.12.2023","70,80","72,50","72,72","70,50","364,54K","-2,45%"
"08.12.2023","72,58","75,00","78,22","72,54","984,62K","-1,95%"
"07.12.2023","74,02","70,34","74,20","67,16","1,28M","5,32%"
"06.12.2023","70,28","71,98","72,64","70,00","511,43K","-2,36%"
"05.12.2023","71,98","72,40","72,96","69,58","619,75K","-0,17%"
"04.12.2023","72,10","73,50","73,96","71,00","858,08K","-2,51%"
"01.12.2023","73,96","76,10","76,98","73,74","444,59K","-3,85%"
"30.11.2023","76,92","78,20","78,28","76,00","450,18K","-1,64%"
"29.11.2023","78,20","78,30","79,68","77,00","350,29K","-0,10%"
"28.11.2023","78,28","79,20","79,58","75,22","486,32K","-1,16%"
"27.11.2023","79,20","80,68","81,00","78,70","621,10K","-1,83%"
"24.11.2023","80,68","81,00","83,70","80,44","800,25K","-0,40%"
"23.11.2023","81,00","81,70","82,00","81,00","182,72K","-0,83%"
"22.11.2023","81,68","81,54","82,10","81,00","243,45K","0,17%"
"21.11.2023","81,54","82,00","82,50","81,06","264,42K","-0,73%"
"20.11.2023","82,14","82,40","82,96","81,02","455,19K","-0,68%"
"17.11.2023","82,70","83,10","83,18","82,10","259,63K","-0,62%"
"16.11.2023","83,22","85,00","85,46","82,82","951,18K","1,41%"
"15.11.2023","82,06","82,72","82,72","80,80","474,32K","-0,85%"
"14.11.2023","82,76","83,58","84,34","80,00","853,90K","-1,34%"
"13.11.2023","83,88","83,88","84,50","83,16","378,60K","0,70%"
"10.11.2023","83,30","84,02","84,30","83,00","339,78K","-1,19%"
"09.11.2023","84,30","83,40","85,70","83,40","520,31K","1,08%"
"08.11.2023","83,40","84,76","84,96","82,92","429,74K","-1,60%"
"07.11.2023","84,76","83,20","86,60","82,88","948,03K","2,05%"
"06.11.2023","83,06","82,62","83,88","81,96","208,62K","1,54%"
"03.11.2023","81,80","83,00","83,32","81,24","347,48K","-1,49%"
"02.11.2023","83,04","83,16","84,70","82,72","414,26K","-0,14%"
"01.11.2023","83,16","82,48","83,90","81,66","306,43K","0,82%"
"31.10.2023","82,48","84,74","85,00","81,20","625,72K","-2,30%"
"30.10.2023","84,42","85,96","86,20","84,14","471,24K","-2,09%"
"27.10.2023","86,22","87,70","87,70","84,74","601,82K","-1,69%"
"26.10.2023","87,70","89,56","89,56","87,70","291,50K","-1,15%"
"25.10.2023","88,72","89,12","89,38","88,04","394,62K","-0,54%"
"24.10.2023","89,20","87,36","91,70","86,76","1,52M","1,73%"
"23.10.2023","87,68","87,60","88,34","86,20","385,68K","0,16%"
"20.10.2023","87,54","89,40","89,40","86,80","516,12K","-1,62%"
"19.10.2023","88,98","90,10","90,48","88,30","548,07K","-1,09%"
"18.10.2023","89,96","91,10","91,96","89,82","496,19K","-1,12%"
"17.10.2023","90,98","90,16","91,00","89,80","523,72K","0,91%"
"16.10.2023","90,16","90,18","90,50","89,42","502,71K","0,71%"
"13.10.2023","89,52","90,96","90,96","89,10","685,10K","-0,97%"
"12.10.2023","90,40","86,98","91,04","85,58","863,25K","1,23%"
"11.10.2023","89,30","92,80","92,80","89,10","3,67M","1,94%"
