"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"25.02.2022","18,94","23,94","24,05","17,83","28,27M","-6,79%"
"24.02.2022","20,32","17,96","23,39","14,11","77,40M","-40,31%"
"23.02.2022","34,04","38,70","39,02","34,00","7,74M","-13,65%"
"22.02.2022","39,42","40,52","43,31","38,80","14,95M","-11,91%"
"18.02.2022","44,75","46,70","47,28","44,69","6,90M","-8,56%"
"17.02.2022","48,94","49,80","50,75","48,88","3,07M","-8,66%"
"16.02.2022","53,58","53,00","53,85","51,80","3,19M","2,25%"
"15.02.2022","52,40","49,25","52,79","49,24","8,06M","15,98%"
"14.02.2022","45,18","45,85","46,09","44,48","3,98M","1,73%"
"11.02.2022","44,41","49,06","49,71","44,01","5,92M","-12,89%"
"10.02.2022","50,98","49,21","52,25","49,19","3,21M","0,81%"
"09.02.2022","50,57","50,05","50,82","49,05","2,44M","4,14%"
"08.02.2022","48,56","46,16","48,66","46,00","1,86M","5,59%"
"07.02.2022","45,99","46,07","46,67","45,23","1,68M","-0,37%"
"04.02.2022","46,16","46,01","46,69","45,44","1,91M","0,70%"
"03.02.2022","45,84","46,16","47,11","45,72","2,56M","-4,56%"
"02.02.2022","48,03","49,20","50,12","47,76","3,06M","-1,01%"
"01.02.2022","48,52","48,88","49,15","47,78","2,27M","0,96%"
"31.01.2022","48,06","45,33","48,14","45,30","3,45M","8,22%"
"28.01.2022","44,41","44,05","44,74","43,14","5,18M","3,16%"
"27.01.2022","43,05","45,73","45,73","42,98","7,06M","2,21%"
"26.01.2022","42,12","44,38","45,03","41,64","4,88M","-2,32%"
"25.01.2022","43,12","41,46","44,20","40,65","5,59M","1,46%"
"24.01.2022","42,50","41,11","42,56","39,00","7,67M","-4,43%"
"21.01.2022","44,47","47,80","47,89","44,45","4,19M","-6,97%"
"20.01.2022","47,80","49,41","50,33","47,69","3,60M","-1,12%"
"19.01.2022","48,34","50,88","50,88","48,24","5,95M","-0,72%"
"18.01.2022","48,69","49,26","50,44","48,67","5,56M","-6,97%"
"14.01.2022","52,34","52,91","54,01","50,27","5,55M","-3,98%"
"13.01.2022","54,51","57,48","58,75","54,36","3,89M","-7,58%"
"12.01.2022","58,98","59,31","59,54","58,25","2,09M","1,46%"
"11.01.2022","58,13","57,12","59,01","56,91","3,95M","3,69%"
"10.01.2022","56,06","54,90","56,09","53,94","2,84M","2,60%"
"07.01.2022","54,64","55,32","55,99","54,46","2,53M","-1,23%"
"06.01.2022","55,32","55,27","56,38","54,77","2,46M","-0,04%"
"05.01.2022","55,34","58,41","58,91","55,27","2,33M","-6,55%"
"04.01.2022","59,22","60,17","60,61","58,65","2,13M","-1,95%"
"03.01.2022","60,40","61,29","61,79","60,33","2,07M","-0,17%"
"31.12.2021","60,50","61,55","61,66","60,16","890,50K","-1,37%"
"30.12.2021","61,34","59,71","61,46","59,37","2,03M","2,94%"
"29.12.2021","59,59","60,43","60,50","58,98","1,03M","-1,63%"
"28.12.2021","60,58","60,78","61,25","60,40","757,12K","-0,18%"
"27.12.2021","60,69","60,68","60,83","60,24","1,39M","1,17%"
"23.12.2021","59,99","60,59","60,69","59,30","1,95M","-1,43%"
"22.12.2021","60,86","62,31","62,42","60,57","1,72M","-1,57%"
"21.12.2021","61,83","60,84","62,22","60,78","1,48M","2,50%"
"20.12.2021","60,32","61,03","61,70","60,02","1,27M","-2,99%"
"17.12.2021","62,18","62,19","63,37","61,91","1,90M","-0,59%"
"16.12.2021","62,55","64,06","65,49","61,89","3,01M","2,32%"
"15.12.2021","61,13","61,82","61,83","60,13","1,63M","-1,42%"
"14.12.2021","62,01","61,17","63,07","60,46","1,73M","0,50%"
"13.12.2021","61,70","61,93","62,93","61,31","1,86M","-2,60%"
"10.12.2021","63,35","65,72","65,79","63,23","2,15M","-3,50%"
"09.12.2021","65,65","67,56","67,67","65,37","1,74M","-2,07%"
"08.12.2021","67,04","66,77","67,88","64,72","3,24M","0,04%"
"07.12.2021","67,01","68,57","69,08","66,98","3,72M","-1,60%"
"06.12.2021","68,10","67,89","68,40","67,17","1,33M","-1,87%"
"03.12.2021","69,40","71,54","71,69","68,74","1,88M","-2,34%"
"02.12.2021","71,06","71,69","72,02","70,19","1,36M","-0,15%"
"01.12.2021","71,17","72,60","73,58","71,17","1,67M","-1,07%"
"30.11.2021","71,94","72,60","73,31","71,15","1,99M","-0,08%"
"29.11.2021","72,00","73,43","73,43","71,81","1,36M","2,21%"
"26.11.2021","70,44","71,57","71,64","70,37","1,58M","-4,77%"
"24.11.2021","73,97","74,00","74,89","72,54","1,34M","-1,83%"
"23.11.2021","75,35","75,09","75,63","74,11","2,52M","3,42%"
"22.11.2021","72,86","79,00","79,00","71,32","5,58M","-10,10%"
"19.11.2021","81,05","81,87","83,87","81,00","1,21M","-1,01%"
"18.11.2021","81,88","81,57","82,06","80,87","1,05M","0,13%"
"17.11.2021","81,77","81,31","82,41","80,94","1,63M","0,57%"
"16.11.2021","81,31","81,20","81,35","80,65","464,21K","-0,56%"
"15.11.2021","81,77","83,36","83,42","81,09","730,77K","-0,37%"
"12.11.2021","82,07","81,40","82,33","80,35","2,49M","-1,42%"
"11.11.2021","83,25","82,70","84,69","82,70","890,38K","1,51%"
"10.11.2021","82,01","84,12","84,53","81,96","1,08M","-3,10%"
"09.11.2021","84,63","86,61","86,76","84,49","1,49M","-2,13%"
"08.11.2021","86,47","86,85","87,11","86,16","920,62K","0,46%"
"05.11.2021","86,07","84,95","86,31","83,92","1,49M","2,32%"
"04.11.2021","84,12","84,35","84,80","82,82","933,17K","0,14%"
"03.11.2021","84,00","82,32","84,03","82,24","1,39M","1,31%"
"02.11.2021","82,91","82,13","83,49","81,86","1,07M","0,55%"
"01.11.2021","82,46","83,01","83,54","81,02","1,03M","-0,46%"
